symbol,date,open,high,low,close,volume,quote_volume,trades_count,taker_buy_base_volume,taker_buy_quote_volume
BTCUSDT,2024-06-01,67540.01000000,67900.00000000,67428.44000000,67766.85000000,8837.66133000,598305207.99320460,638484,4235.27045000,286752060.40289290
BTCUSDT,2024-06-02,67766.84000000,68460.00000000,67257.47000000,67765.63000000,15426.32529000,1046827665.38293130,812348,7760.23377000,526768921.12622220
BTCUSDT,2024-06-03,67765.62000000,70288.00000000,67612.48000000,68809.90000000,29633.37400000,2047757076.22683570,1253789,15308.67275000,1058024704.35337320
BTCUSDT,2024-06-04,68809.89000000,71063.45000000,68567.32000000,70537.84000000,29619.78489000,2069902136.99324010,1254515,14922.96734000,1043071241.62848080
BTCUSDT,2024-06-05,70537.83000000,71758.00000000,70383.66000000,71108.00000000,28703.18082000,2040073765.86763960,1055115,14210.23392000,1010053925.79108140
BTCUSDT,2024-06-06,71108.00000000,71700.00000000,70117.64000000,70799.06000000,21842.00449000,1551467659.15429660,900226,10287.39110000,730849194.23039900
BTCUSDT,2024-06-07,70799.06000000,71997.02000000,68420.00000000,69355.60000000,35598.45045000,2507250591.33297820,1516415,17318.78051000,1220810920.34443310
BTCUSDT,2024-06-08,69355.60000000,69582.20000000,69168.02000000,69310.46000000,9773.82967000,678267390.53103880,714103,4772.23036000,331182466.90034250
BTCUSDT,2024-06-09,69310.46000000,69857.14000000,69130.24000000,69648.14000000,9890.56709000,687344656.07255660,575583,4883.69296000,339405376.08154470
BTCUSDT,2024-06-10,69648.15000000,70195.94000000,69172.29000000,69540.00000000,17122.66941000,1192466549.96912270,936731,8412.00246000,585909223.77581300
BTCUSDT,2024-06-11,69540.00000000,69590.01000000,66051.00000000,67314.24000000,41436.01588000,2793799020.46912430,1782415,19839.82320000,1337254654.99899240
BTCUSDT,2024-06-12,67314.23000000,69999.00000000,66905.00000000,68263.99000000,37175.32356000,2550285139.18437200,1670745,18975.89081000,1302069589.64168150
BTCUSDT,2024-06-13,68263.98000000,68449.30000000,66251.78000000,66773.01000000,29079.55571000,1958897960.91729170,1518202,13886.14007000,935614189.69868110
BTCUSDT,2024-06-14,66773.01000000,67370.24000000,65078.00000000,66043.99000000,28408.18797000,1884451554.42828490,1736314,13619.40861000,903708200.78497490
BTCUSDT,2024-06-15,66043.99000000,66478.48000000,65857.10000000,66228.25000000,11451.80242000,758175888.02833720,700886,5495.02083000,363796116.45357520
BTCUSDT,2024-06-16,66228.25000000,66998.70000000,66034.50000000,66676.87000000,9392.52223000,624653672.61385750,703295,4750.05166000,315940653.99261210
BTCUSDT,2024-06-17,66676.86000000,67298.81000000,65130.00000000,66504.33000000,27386.16851000,1812061226.75656550,1542620,13716.89431000,907703353.53049530
BTCUSDT,2024-06-18,66504.33000000,66588.23000000,64060.00000000,65175.32000000,42350.10244000,2755141806.03109010,2151711,20076.41361000,1305946733.58928080
BTCUSDT,2024-06-19,65175.32000000,65727.54000000,64666.00000000,64974.37000000,20060.79576000,1307731953.95453160,1078458,10289.78180000,670875724.31372840
BTCUSDT,2024-06-20,64974.37000000,66482.94000000,64559.15000000,64869.99000000,24265.29031000,1584896152.16637010,1282687,11828.87934000,772646071.21699650
BTCUSDT,2024-06-21,64869.99000000,65066.66000000,63379.35000000,64143.56000000,25993.56442000,1665541539.70861590,1362617,12543.25960000,803462610.69190860
BTCUSDT,2024-06-22,64143.56000000,64546.81000000,63943.82000000,64262.01000000,7308.95542000,470027247.34020830,562832,3756.29045000,241583895.45436180
BTCUSDT,2024-06-23,64262.01000000,64521.00000000,63178.32000000,63210.01000000,8224.45447000,526848525.00294520,592759,3974.67964000,254685735.53387730
BTCUSDT,2024-06-24,63210.01000000,63369.80000000,58402.00000000,60293.30000000,52161.35414000,3180853460.92475080,2190787,24495.59428000,1493633137.52665430
BTCUSDT,2024-06-25,60293.30000000,62420.00000000,60257.06000000,61806.01000000,31189.24361000,1914901308.84587010,1277481,15360.08458000,943071608.51094150
BTCUSDT,2024-06-26,61806.01000000,62487.81000000,60712.00000000,60864.99000000,22485.66463000,1381716993.35549190,1112152,11435.02653000,702676210.43654810
BTCUSDT,2024-06-27,60864.98000000,62389.22000000,60606.63000000,61706.47000000,18344.28631000,1126705164.78289200,1062176,9298.26500000,570914131.05718340
BTCUSDT,2024-06-28,61706.46000000,62225.31000000,60063.00000000,60427.84000000,24821.19255000,1519872032.02663600,1479626,12661.53908000,775499790.79123460
BTCUSDT,2024-06-29,60427.84000000,61224.00000000,60383.77000000,60986.68000000,11509.55904000,701345872.48811430,767669,5461.68911000,332791254.69089930
BTCUSDT,2024-06-30,60986.68000000,63058.76000000,60712.21000000,62772.01000000,17326.30136000,1070250012.54466050,1108912,8224.44601000,508208752.08569870
BTCUSDT,2024-07-01,62772.01000000,63861.76000000,62497.20000000,62899.99000000,24547.10538000,1550980813.67013450,1461508,12388.60654000,782785773.83555930
BTCUSDT,2024-07-02,62900.00000000,63288.83000000,61806.28000000,62135.47000000,18573.11875000,1160792332.61755960,1308816,9453.17931000,590763216.57998250
BTCUSDT,2024-07-03,62135.46000000,62285.94000000,59400.00000000,60208.58000000,32160.11127000,1945901232.90665710,1839372,15055.45492000,910631739.67384830
BTCUSDT,2024-07-04,60208.57000000,60498.19000000,56771.00000000,57050.01000000,54568.77276000,3168619756.24364850,2523236,24982.98822000,1450509608.68042170
BTCUSDT,2024-07-05,57050.02000000,57546.00000000,53485.93000000,56628.79000000,81348.24756000,4515040083.53651490,3749255,37926.65162000,2104682004.51668210
BTCUSDT,2024-07-06,56628.79000000,58475.00000000,56018.00000000,58230.13000000,21651.31558000,1235398733.43570290,1411065,11083.50401000,632724011.54747280
BTCUSDT,2024-07-07,58230.13000000,58449.46000000,55724.37000000,55857.81000000,19118.93918000,1094135752.45286890,1289229,9081.66872000,519830378.93556300
BTCUSDT,2024-07-08,55857.81000000,58236.73000000,54260.16000000,56714.62000000,48090.20490000,2699942701.37551110,2554389,23963.90684000,1346497811.21179220
BTCUSDT,2024-07-09,56714.61000000,58296.00000000,56289.45000000,58050.00000000,27732.20788000,1592351321.65538700,1757693,14143.25001000,812249336.74934340
BTCUSDT,2024-07-10,58050.00000000,59470.00000000,57157.79000000,57725.85000000,24951.73799000,1452293495.65014880,1766696,12423.53162000,723209557.64967550
BTCUSDT,2024-07-11,57725.85000000,59650.00000000,57050.00000000,57339.89000000,29761.05735000,1728929618.05838440,2157661,15019.30135000,872986677.11952730
BTCUSDT,2024-07-12,57339.89000000,58526.68000000,56542.47000000,57889.10000000,23652.45690000,1360201319.07615040,1749738,11488.82545000,661028735.66443120
BTCUSDT,2024-07-13,57889.09000000,59850.00000000,57756.63000000,59204.02000000,15357.74519000,900429281.14823270,1114391,7889.36244000,462600767.86107760
BTCUSDT,2024-07-14,59204.01000000,61420.69000000,59194.01000000,60797.91000000,21178.33907000,1273562988.61117610,1456088,10479.46025000,630300143.25984630
BTCUSDT,2024-07-15,60797.91000000,64900.00000000,60632.30000000,64724.14000000,38690.97820000,2435540879.02893340,2600425,19076.54212000,1201411783.66660390
BTCUSDT,2024-07-16,64724.06000000,65388.97000000,62373.24000000,65043.99000000,42530.52915000,2725231969.28845080,2484783,21595.04799000,1384337933.33100270
BTCUSDT,2024-07-17,65044.00000000,66128.63000000,63854.00000000,64087.99000000,29567.52954000,1922412273.08820950,1868671,14616.17013000,950725865.58566080
BTCUSDT,2024-07-18,64087.99000000,65133.30000000,63238.48000000,63987.92000000,22568.72250000,1449872437.64979730,1696742,11288.35191000,725073622.70567400
BTCUSDT,2024-07-19,63987.92000000,67386.00000000,63300.67000000,66660.00000000,35634.72739000,2331517674.36865920,2184889,17971.06949000,1176753281.03832610
BTCUSDT,2024-07-20,66660.01000000,67598.00000000,66222.46000000,67139.96000000,14386.92434000,961878801.84822110,995093,6868.63454000,459313955.25348910
BTCUSDT,2024-07-21,67139.97000000,68366.66000000,65777.00000000,68165.34000000,21819.11191000,1465757867.97474330,1322942,11412.05459000,766856991.84253770
BTCUSDT,2024-07-22,68165.35000000,68474.55000000,66559.97000000,67532.01000000,21451.04303000,1448418369.84670970,1558140,10263.95040000,693063991.11910680
BTCUSDT,2024-07-23,67532.00000000,67750.98000000,65441.08000000,65936.01000000,31406.15316000,2088544473.32350770,1772089,15168.84798000,1008794779.03899120
BTCUSDT,2024-07-24,65936.00000000,67102.01000000,65111.00000000,65376.00000000,23082.56277000,1526490826.46699670,1391053,10827.75551000,716084205.20164140
BTCUSDT,2024-07-25,65376.01000000,66175.49000000,63456.70000000,65799.95000000,35126.42934000,2266419771.22486380,1830360,16579.45258000,1070150879.36395480
BTCUSDT,2024-07-26,65799.95000000,68200.00000000,65722.63000000,67907.99000000,24244.36023000,1630839588.69665470,1406982,12444.52129000,837159298.56635020
BTCUSDT,2024-07-27,67908.00000000,69399.99000000,66650.00000000,67896.50000000,31710.21921000,2162335067.02341760,1690591,15838.92820000,1080427116.19164440
BTCUSDT,2024-07-28,67896.49000000,68318.43000000,67066.66000000,68249.88000000,10868.69394000,736755676.13774510,821210,5403.48694000,366295409.63502700
