symbol,date,open,high,low,close,volume,quote_volume,trades_count,taker_buy_base_volume,taker_buy_quote_volume
ETHUSDT,2024-06-01,3762.29000000,3833.30000000,3752.67000000,3815.82000000,132687.20060000,503500622.83785600,399377,70367.60980000,267068560.05088300
ETHUSDT,2024-06-02,3815.82000000,3838.59000000,3752.62000000,3780.91000000,210295.44070000,798100737.66375700,579563,105997.65180000,402268605.70398100
ETHUSDT,2024-06-03,3780.92000000,3849.99000000,3758.43000000,3767.06000000,248848.70200000,946239636.29637100,648868,125597.95440000,477669466.68620100
ETHUSDT,2024-06-04,3767.07000000,3831.65000000,3730.00000000,3810.23000000,232063.74680000,878533930.59989000,568514,120842.24990000,457585643.87419900
ETHUSDT,2024-06-05,3810.23000000,3887.47000000,3777.33000000,3865.99000000,273738.60350000,1046373693.42242900,645836,143786.33270000,549824316.32802500
ETHUSDT,2024-06-06,3866.00000000,3878.60000000,3760.00000000,3813.46000000,237504.19050000,910751773.18159200,525050,116926.45290000,448449925.76810700
ETHUSDT,2024-06-07,3813.47000000,3841.39000000,3600.00000000,3678.32000000,362223.35940000,1352307567.23834900,894006,163680.68050000,611499294.84940500
ETHUSDT,2024-06-08,3678.31000000,3709.50000000,3660.08000000,3681.57000000,140550.83940000,518118534.03992200,364485,65014.43920000,239672339.12588400
ETHUSDT,2024-06-09,3681.58000000,3721.52000000,3666.36000000,3706.40000000,103451.10200000,381854484.95566000,287960,48702.62220000,179769963.17597400
ETHUSDT,2024-06-10,3706.40000000,3713.67000000,3642.74000000,3667.85000000,156363.18460000,575211243.30527000,391165,74799.52590000,275223031.29794300
ETHUSDT,2024-06-11,3667.85000000,3673.00000000,3432.00000000,3497.33000000,439568.59780000,1552225947.17115500,1036229,207637.60210000,733338576.38693000
ETHUSDT,2024-06-12,3497.33000000,3659.01000000,3462.07000000,3560.12000000,387043.77400000,1384558593.85822000,850527,187121.79170000,669515053.84192500
ETHUSDT,2024-06-13,3560.13000000,3561.65000000,3428.00000000,3469.40000000,300230.82990000,1048214494.75108000,696369,147994.44390000,516749769.17987500
ETHUSDT,2024-06-14,3469.40000000,3532.61000000,3362.26000000,3481.80000000,322316.42140000,1116570671.84894500,746613,159447.81450000,552550731.44663600
ETHUSDT,2024-06-15,3481.80000000,3594.39000000,3473.10000000,3568.74000000,246649.58940000,873576137.27908000,500773,122544.60260000,433959818.41832800
ETHUSDT,2024-06-16,3568.75000000,3653.79000000,3541.05000000,3624.41000000,149839.98200000,537492821.64342800,417858,77834.89670000,279215755.24814800
ETHUSDT,2024-06-17,3624.41000000,3638.37000000,3463.39000000,3511.46000000,337805.64020000,1196162530.91905300,774085,166343.20520000,588834718.23454600
ETHUSDT,2024-06-18,3511.47000000,3517.20000000,3355.00000000,3483.42000000,449913.30140000,1541798882.41169500,1062807,217161.58870000,744297791.43354200
ETHUSDT,2024-06-19,3483.42000000,3590.01000000,3465.65000000,3560.51000000,321500.00270000,1138419054.65292700,712501,162762.02380000,576256549.35841500
ETHUSDT,2024-06-20,3560.51000000,3625.96000000,3486.00000000,3513.08000000,329117.84530000,1170597741.25786900,743896,161277.79050000,573660167.60342100
ETHUSDT,2024-06-21,3513.08000000,3547.55000000,3446.82000000,3518.50000000,342155.10200000,1197095546.23396300,746361,176183.03800000,616476628.14976100
ETHUSDT,2024-06-22,3518.50000000,3521.19000000,3475.09000000,3495.75000000,115774.61570000,405045499.42158200,315684,57671.84140000,201786538.36821800
ETHUSDT,2024-06-23,3495.76000000,3521.45000000,3406.38000000,3420.91000000,133411.43040000,463204539.05644000,338679,67467.46860000,234264816.82869500
ETHUSDT,2024-06-24,3420.91000000,3435.76000000,3240.00000000,3352.73000000,543370.42290000,1807046957.96521900,1222789,262600.40520000,873824151.92476300
ETHUSDT,2024-06-25,3352.74000000,3430.88000000,3336.76000000,3394.91000000,240036.22360000,812730026.84420000,654302,122936.19590000,416346006.72290600
ETHUSDT,2024-06-26,3394.91000000,3426.75000000,3325.01000000,3371.44000000,206949.34180000,699375819.27612800,518727,108326.93730000,366024176.14348900
ETHUSDT,2024-06-27,3371.77000000,3477.00000000,3361.74000000,3450.44000000,201041.66090000,687897292.14541400,530697,108386.89200000,370765787.90538400
ETHUSDT,2024-06-28,3450.44000000,3487.70000000,3365.22000000,3380.15000000,221634.34350000,760116781.02950800,934561,117864.76710000,404433441.06101600
ETHUSDT,2024-06-29,3380.15000000,3408.32000000,3371.86000000,3378.80000000,88329.76510000,299468173.24571800,365755,47423.39680000,160794628.30853200
ETHUSDT,2024-06-30,3378.80000000,3460.00000000,3352.66000000,3438.16000000,141221.61850000,480491273.12148200,557070,80177.99650000,272838936.07012400
ETHUSDT,2024-07-01,3438.16000000,3524.94000000,3423.78000000,3442.20000000,224273.21220000,780112100.20822300,854102,121044.94000000,421096637.78815500
ETHUSDT,2024-07-02,3442.20000000,3464.12000000,3402.00000000,3421.35000000,137932.70140000,473853655.52232200,623720,68282.75840000,234617896.70346100
ETHUSDT,2024-07-03,3421.35000000,3432.10000000,3251.00000000,3295.48000000,310408.45100000,1031040642.94824500,1378502,143212.67230000,475477399.86673600
ETHUSDT,2024-07-04,3295.49000000,3313.45000000,3050.34000000,3059.70000000,450402.56920000,1425360058.27939900,1898898,202136.36830000,639814934.74680600
ETHUSDT,2024-07-05,3059.70000000,3110.00000000,2810.00000000,2981.78000000,886994.37530000,2602693094.46338400,2967124,404744.53170000,1188081864.61790000
ETHUSDT,2024-07-06,2981.79000000,3081.78000000,2955.06000000,3066.83000000,214487.97130000,646245038.47514500,1055462,112962.82100000,340494854.01142700
ETHUSDT,2024-07-07,3066.83000000,3073.08000000,2922.24000000,2931.00000000,179892.76120000,538755029.45987900,878707,86519.91150000,258997896.83998600
ETHUSDT,2024-07-08,2930.99000000,3097.06000000,2822.80000000,3019.01000000,500445.01050000,1484924133.82865400,2222940,246399.41830000,731702626.90189300
ETHUSDT,2024-07-09,3019.01000000,3115.20000000,3004.00000000,3066.65000000,280358.14240000,859567747.66392700,1377129,148692.14930000,455973139.54195900
ETHUSDT,2024-07-10,3066.65000000,3151.51000000,3024.00000000,3101.05000000,270827.08440000,839730659.37295200,1296218,134603.87130000,417474584.80457600
ETHUSDT,2024-07-11,3101.06000000,3217.24000000,3054.76000000,3099.57000000,289229.32000000,907129989.22209600,1413031,148734.73680000,466509910.14770000
ETHUSDT,2024-07-12,3099.57000000,3157.89000000,3045.58000000,3133.88000000,185745.18250000,575599522.85066300,1094915,95406.12530000,295730714.46365600
ETHUSDT,2024-07-13,3133.89000000,3201.80000000,3113.37000000,3175.93000000,119302.47690000,376336968.78329300,591291,60506.12940000,190893440.61093800
ETHUSDT,2024-07-14,3175.93000000,3268.72000000,3163.67000000,3245.08000000,165430.77160000,530204017.16941100,792858,83179.81420000,266820311.32188600
ETHUSDT,2024-07-15,3245.20000000,3493.63000000,3233.22000000,3483.39000000,314296.84520000,1058747637.28826600,1617276,161760.18580000,544978505.52276800
ETHUSDT,2024-07-16,3483.20000000,3498.59000000,3346.55000000,3444.13000000,376128.78690000,1291412549.93776600,1636557,193947.88230000,665961239.71115500
ETHUSDT,2024-07-17,3444.14000000,3517.00000000,3376.00000000,3387.05000000,297812.51620000,1029558208.63679400,1285615,168234.51870000,581998341.75033700
ETHUSDT,2024-07-18,3387.05000000,3489.98000000,3367.20000000,3426.50000000,241950.34570000,829503482.76701200,1165443,128938.74410000,442179155.87365700
ETHUSDT,2024-07-19,3426.49000000,3540.27000000,3377.00000000,3503.53000000,299511.64220000,1034724329.31929600,1262244,158469.64460000,547637460.46681500
ETHUSDT,2024-07-20,3503.53000000,3539.65000000,3480.00000000,3517.50000000,147510.81650000,516504071.76519900,667108,69139.34330000,242092830.77753000
